"world_rank","university_name","national_rank","total_score","alumni","award","hici","ns","pub","pcp","year","lon","lat"
"101-152","Tel Aviv University","2-4",NA,0,0,24.8,20.1,54.7,26.9,2005,34.8046043,32.1036332
"101-152","The University of Georgia","54-71",NA,0,0,28.3,21.1,46.4,18.4,2005,-83.3773221,33.9480053
"101-152","The University of Glasgow","12-15",NA,10.9,0,19.2,17.1,44.4,22.1,2005,-4.2890699,55.8734218
"101-152","The University of Queensland","3-4",NA,16.6,0,7.9,19.9,50.1,18.9,2005,151.9287869,-27.6061106
"101-152","University Libre Bruxelles","1-4",NA,28.1,19.3,0,12.8,37.8,29.1,2005,4.3822222,50.8132068
"101-152","University of Alberta","5",NA,15.4,0,17.6,17.4,55.1,26.1,2005,-113.5490268,53.4943212
"101-152","University of Amsterdam","3-4",NA,8.9,0,19.2,22.2,50.1,23.1,2005,4.9470315,52.3561962
"101-152","University of Bonn","6-11",NA,19.8,20.4,15.7,11.3,41.3,22,2005,121.1009535,14.6051887
"101-152","University of California, Riverside","54-71",NA,0,0,28.3,25.9,36.5,27,2005,-117.3280644,33.9737055
"101-152","University of California, Santa Cruz","54-71",NA,0,0,28.3,28.5,31.1,29.2,2005,-117.3163115,33.981043
"101-152","University of Frankfurt","6-11",NA,36.6,9.1,17.6,16.5,37.9,22.4,2005,8.6677635,50.1270675
"101-152","University of Geneva","4",NA,29.4,0,19.2,23.8,33.7,23.1,2005,6.1011686,46.2247046
"101-152","University of Groningen","3-4",NA,0,20.4,13.6,18.5,43.2,19.8,2005,6.5665018,53.2193835
"101-152","University of Hamburg","6-11",NA,16.6,0,17.6,20.7,40.9,21.4,2005,9.9846195,53.5665641
"101-152","University of Hawaii at Manoa","54-71",NA,0,0,27.2,30.1,36.8,22.2,2005,-157.818968,21.3
"101-152","University of Illinois at Chicago","54-71",NA,0,0,28.3,18.5,46.9,21.5,2005,-117.3484801,33.9690772
"101-152","University of Iowa","54-71",NA,0,0,31.4,22.7,50.8,20.9,2005,-117.3398859,33.9790905
"101-152","University of Leeds","12-15",NA,22.6,0,11.1,22.9,45,23,2005,-82.4315563,28.0637104
"101-152","University of Liverpool","12-15",NA,23.5,15.8,13.6,18.1,42.4,22.6,2005,-2.9655722,53.405936
"101-152","University of Massachusetts Amherst","54-71",NA,17.7,0,33.3,24.3,38,23,2005,-72.5267121,42.3911569
"101-152","University of Miami","54-71",NA,0,0,26.1,16.4,41.7,23.4,2005,-80.2792843,25.7216374
"101-152","University of Milan","2-3",NA,22.6,0,15.7,14.2,49.7,19.1,2005,9.1945843,45.4601435
"101-152","University of Muenster","6-11",NA,25.1,15.8,11.1,14.8,38.3,20.7,2005,7.6131826,51.9635705
"101-152","University of Pisa","2-3",NA,18.8,24.1,11.1,8.7,40.6,18.4,2005,10.3988593,43.7167235
"101-152","University of Sao Paulo","1",NA,0,0,11.1,11,63.5,27.8,2005,-46.7307891,-23.5613991
"101-152","University of Sussex","12-15",NA,0,23.2,19.2,15.9,28.8,19,2005,-0.7756403,50.8443366
"101-152","University of Sydney","3-4",NA,19.8,0,19.2,17.8,54.5,19.7,2005,149.6612155,-30.4730963
"101-152","University of Tsukuba","6-9",NA,0,20.4,13.6,12.7,42.9,21.3,2005,140.1039611,36.1087221
"101-152","University of Tuebingen","6-11",NA,29.4,0,15.7,22.4,43.7,23.6,2005,9.043774,48.5294782
"101-152","University of Virginia","54-71",NA,0,0,29.4,23.6,47.9,24,2005,-93.1147395,44.9494426
"101-152","University of Wuerzburg","6-11",NA,25.1,9.1,22.2,16.9,37.9,21.7,2005,9.9708462,49.7830083
"101-152","Weizmann Institute of Science","2-4",NA,0,0,26.1,35.1,33.6,23.4,2005,34.811363,31.907867
"153-202","Autonomous University of Madrid","1-2",NA,19.8,0,13.6,11.4,36.3,18.2,2005,-3.6943619,40.5466983
"153-202","Brandeis University","72-90",NA,25.1,0,7.9,26.1,20.3,27.4,2005,-85.7551276,38.2190053
"153-202","Cardiff University","16-19",NA,0,0,13.6,17,42.5,20.3,2005,-3.1868361,51.4919075
"153-202","Colorado State University","72-90",NA,0,0,27.2,14.8,37.6,21.7,2005,-105.0807072,40.5747751
"153-202","Erasmus University","5-7",NA,0,15.8,15.7,11,29.8,17,2005,4.525585,51.91752
"153-202","Florida State University","72-90",NA,0,0,22.2,17.1,37.9,18.4,2005,-84.2984889,30.4418778
"153-202","Iowa State University","72-90",NA,0,0,24.8,11.5,45,18.4,2005,-93.6396252,42.0277899
