"world_rank","university_name","country","teaching","international","research","citations","income","total_score","num_students","student_staff_ratio","international_students","female_male_ratio","year","lon","lat","bar_count"
119,"University of Birmingham","United Kingdom",39.4,"82.0",41.8,82.7,"34.7","56.2","25,295",16.4,"23%","54 : 46",2016,-1.93668,52.45126,189
120,"University of Bern","Switzerland",40,"83.7",42.5,76.6,"82.9","56.1","14,708",22.5,"14%","54 : 46",2016,121.0977098,14.6037344,197
120,"University of Cape Town","South Africa",34.9,"80.2",38.7,85.6,"92.7","56.1","20,040",12.1,"18%","53 : 47",2016,18.415091,-33.925967,198
120,"University of Florida","United States of America",51.8,"33.3",56.8,67.7,"-","56.1","50,095",18.7,"9%","54 : 46",2016,-80.277027,25.714868,123
123,"University of Erlangen-Nuremberg","Germany",51.7,"47.0",39.7,75.2,"99.4","56.0","36,146",53.9,"9%","49 : 51",2016,11.0045507,49.5978804,66
123,"Rutgers, the State University of New Jersey","United States of America",43.9,"34.7",55.7,75.4,"35.9","56.0","37,032",17.3,"8%","51 : 49",2016,-74.1741891,40.7416983,200
125,"University of Münster","Germany",40.3,"46.3",44.1,85.6,"58.2","55.9","39,838",46.1,"8%","53 : 47",2016,7.6131826,51.9635705,132
125,"Radboud University Nijmegen","Netherlands",34.3,"60.9",48.5,84.9,"39.2","55.9","17,713",13,"10%","58 : 42",2016,5.8372264,51.8125626,83
127,"University of Colorado Boulder","United States of America",39.7,"36.6",37.6,96.4,"35.7","55.8","29,325",16.1,"8%","45 : 55",2016,-105.2627072,40.0071656,95
127,"Tufts University","United States of America",45.2,"49.4",33.3,90.1,"60.7","55.8","10,410",10,"14%","54 : 46",2016,-71.120482,42.4036848,198
129,"Royal Holloway, University of London","United Kingdom",35.1,"92.7",33.2,91.2,"34.4","55.7","8,747",15.9,"37%","57 : 43",2016,-0.5630625,51.425673,70
130,"Lancaster University","United Kingdom",34,"87.0",41.4,85.3,"33.6","55.6","11,512",14.9,"33%","52 : 48",2016,-2.7850105,54.0101034,68
131,"University of Geneva","Switzerland",34.9,"98.5",40.5,78.5,"72.4","55.4","15,668",15,"39%","61 : 39",2016,6.1011686,46.2247046,195
131,"University of York","United Kingdom",41.9,"83.5",46.3,73.1,"31.1","55.4","",NA,"","",2016,-104.9603049,39.6818471,181
133,"Case Western Reserve University","United States of America",46.1,"40.5",33.2,92,"34.1","55.3","9,259",6.4,"17%","48 : 52",2016,-81.6083838,41.5043413,81
133,"University of Leeds","United Kingdom",43.7,"77.4",39,79.2,"36.7","55.3","27,703",14.7,"21%","58 : 42",2016,-82.4315563,28.0637104,62
135,"University of Oslo","Norway",43.3,"68.2",44.7,75.5,"38.3","55.1","27,139",18.8,"18%","",2016,121.0936889,14.6712421,191
136,"Stockholm University","Sweden",34.1,"48.5",51.2,82.5,"31.1","54.8","31,715",23.7,"8%","62 : 38",2016,-81.5636262,41.4685433,53
137,"University of Alberta","Canada",46.4,"80.7",48.1,63.6,"47.4","54.7","36,299",21.6,"23%","55 : 45",2016,-113.5490268,53.4943212,102
138,"Chinese University of Hong Kong","Hong Kong",41.5,"81.1",48.5,68.4,"37.5","54.5","17,916",10.2,"22%","53 : 47",2016,114.203926,22.417442,27
138,"Karlsruhe Institute of Technology","Germany",37.7,"56.7",47.5,73.8,"99.5","54.5","25,294",24.6,"16%","26 : 74",2016,8.4170303,49.0119199,179
140,"University of Sussex","United Kingdom",33.4,"88.3",37.2,86.1,"30.6","54.4","12,001",17.4,"35%","54 : 46",2016,-0.7756403,50.8443366,53
141,"University of Massachusetts","United States of America",40.2,"48.9",36.3,88.1,"52.2","54.3","56,959",13,"11%","49 : 51",2016,-117.3324743,33.9866891,31
142,"University of Vienna","Austria",40.8,"92.6",50.5,63.6,"30.2","54.2","34,651",20.5,"25%","67 : 33",2016,-117.8440006,33.6140008,46
143,"University of Nottingham","United Kingdom",40.3,"80.6",39,77.5,"39.8","54.1","30,144",15,"27%","54 : 46",2016,-1.1951582,52.938636,183
144,"University of California, Santa Cruz","United States of America",31.1,"45.6",34.2,99.9,"36.1","53.9","17,404",22.7,"1%","53 : 47",2016,-117.3163115,33.981043,20
144,"University of Lausanne","Switzerland",30.9,"89.2",45.6,76.2,"56.0","53.9","11,964",13.1,"22%","",2016,6.6528621,46.5287859,117
146,"Autonomous University of Barcelona","Spain",40.3,"50.3",40,83.8,"34.9","53.8","30,538",12.3,"10%","59 : 41",2016,2.1640917,41.3855048,199
147,"University of Virginia","United States of America",38.8,"43.4",37.5,87.3,"37.9","53.3","23,845",10.2,"12%","52 : 48",2016,-93.1147395,44.9494426,133
148,"Korea Advanced Institute of Science and Technology (KAIST)","South Korea",43.3,"33.9",40.5,75.9,"100.0","53.0","9,027",10,"9%","20 : 80",2016,127.3640249,36.3693921,62
149,"University of Adelaide","Australia",32.8,"85.1",43.2,72.4,"79.3","52.9","20,771",30.1,"26%","48 : 52",2016,138.6090143,-34.9103022,200
149,"University of East Anglia","United Kingdom",31.9,"83.5",28.7,92.7,"28.5","52.9","14,992",14.7,"28%","58 : 42",2016,1.2406141,52.6184758,185
149,"University of Twente","Netherlands",34.1,"80.1",45.6,68.8,"91.2","52.9","6,631",12,"26%","37 : 63",2016,6.8524128,52.2410326,45
153,"Sungkyunkwan University (SKKU)","South Korea",51.4,"36.7",53.5,53.8,"97.5","52.8","24,365",20.3,"9%","39 : 61",2016,126.993606,37.588227,141
154,"VU University Amsterdam","Netherlands",28.4,"54.9",37.1,90.7,"60.1","52.5","23,280",16.3,"6%","56 : 44",2016,4.8658302,52.3344753,199
155,"KTH Royal Institute of Technology","Sweden",39,"84.4",44.3,63.9,"78.1","52.4","12,062",14.6,"21%","30 : 70",2016,18.0706645,59.3498065,200
156,"University of Cologne","Germany",42.2,"53.1",38,75,"68.5","52.3","43,280",43.4,"11%","60 : 40",2016,6.9288192,50.9281625,200
157,"University of Liverpool","United Kingdom",32.8,"85.4",30.9,85.9,"36.6","52.2","18,815",13.6,"30%","52 : 48",2016,-2.9655722,53.405936,190
158,"TU Dresden","Germany",41.4,"47.7",45.8,66.1,"99.7","52.1","35,487",37.4,"12%","42 : 58",2016,13.7289964,51.0292734,200
158,"University of Rochester","United States of America",39.7,"55.8",27.9,89,"37.0","52.1","9,390",4.5,"26%","49 : 51",2016,-77.6260033,43.1305531,136
160,"Trinity College Dublin","Republic of Ireland",41.9,"90.5",30.8,75.8,"28.0","52.0","15,521",18,"25%","57 : 43",2016,-6.2576899,53.3454782,193
161,"Lomonosov Moscow State University","Russian Federation",75.4,"57.8",66.7,8.6,"95.7","51.9","30,822",7.7,"20%","43 : 57",2016,37.5286695,55.7039349,141
161,"University of Miami","United States of America",41.7,"64.0",22.3,90.1,"35.5","51.9","15,286",5.7,"14%","50 : 50",2016,-80.2792843,25.7216374,123
163,"University of Arizona","United States of America",38.7,"38.6",41.8,79.5,"32.4","51.7","36,429",12.7,"8%","52 : 48",2016,-82.4530718,28.067177,50
164,"Pompeu Fabra University","Spain",32.9,"63.3",28,90.7,"37.2","51.2","10,901",18.3,"13%","59 : 41",2016,2.1790535,41.3793687,199
164,"University of Reading","United Kingdom",39.3,"85.1",37.3,69.9,"34.2","51.2","12,050",14.8,"28%","55 : 45",2016,-0.948534,51.440262,172
164,"Yeshiva University","United States of America",44.8,"28.5",23.7,92.8,"-","51.2","6,753",5.5,"7%","53 : 47",2016,111.0957348,33.4442576,NA
167,"University of California, Riverside","United States of America",27.5,"59.5",33.3,91.2,"42.5","51.1","20,626",22,"12%","51 : 49",2016,-117.3280644,33.9737055,30
167,"University of Leicester","United Kingdom",32.1,"86.6",27.8,86,"31.7","51.1","14,541",13.4,"35%","54 : 46",2016,-1.1064677,52.6084655,184
167,"National Taiwan University","Taiwan",54.1,"27.7",58,47.3,"49.6","51.1","31,891",11.9,"7%","39 : 61",2016,121.518577,25.041471,199
167,"Technical University of Denmark","Denmark",37.3,"85.1",29.9,77.8,"50.0","51.1","9,990",5,"18%","27 : 73",2016,9.9785216,57.0149963,33
167,"Université Catholique de Louvain","Belgium",38.7,"74.2",40.6,68.4,"51.0","51.1","28,856",42,"19%","54 : 46",2016,4.4482526,50.4079951,35
172,"University of Aberdeen","United Kingdom",29.7,"91.4",31.4,82.6,"43.1","51.0","12,938",15.8,"33%","54 : 46",2016,-82.4317193,28.0653457,63
172,"University of Auckland","New Zealand",31.4,"90.5",39.5,69.8,"78.0","51.0","29,787",18.9,"28%","54 : 46",2016,174.7699782,-36.8490661,200
174,"University of Barcelona","Spain",38.5,"49.2",37.4,78.9,"31.1","50.9","47,491",12.2,"10%","62 : 38",2016,-117.8207002,33.6766692,69
